,0,1,2
0,0,5,0
1,7,5,0
2,3,0,0
3,5,0,0
4,9,3,0
5,5,4,0
6,11,8,0
7,3,6,0
8,4,1,0
9,7,2,0
10,11,1,0
11,9,29,0
12,7,3,0
13,5,2,0
14,4,0,0
15,7,1,0
16,13,13,0
17,4,0,0
18,29,15,0
19,5,0,0
20,22,22,0
21,24,20,1
22,8,2,0
23,86,8,0
24,27,4,0
25,5,1,0
26,4,0,0
27,9,19,0
28,23,16,1
29,7,0,3
30,7,12,0
31,21,9,0
32,5,0,0
33,6,10,0
34,26,8,0
35,4,1,0
36,33,10,0
37,3,1,0
38,1,0,0
39,3,1,0
40,22,2,7
41,6,1,0
42,2,0,0
43,5,0,0
44,6,1,0
45,7,2,0
46,21,11,0
47,9,0,0
48,17,1,0
49,5,0,0
50,3,1,0
51,5,0,0
52,5,1,0
53,28,1,0
54,6,0,0
55,3,0,0
56,2,0,0
57,73,10,0
58,6,0,0
59,4,0,0
60,12,0,0
61,3,1,0
62,4,2,0
63,5,5,0
64,15,7,0
65,68,47,2
66,12,2,0
67,7,2,0
68,32,22,1
69,11,4,0
70,7,1,0
71,8,3,0
72,9,5,0
73,6,0,0
74,7,7,0
75,71,25,0
76,27,13,0
77,26,10,3
78,16,7,0
79,7,4,28
80,23,20,14
81,20,8,2
82,11,6,0
83,9,1,0
84,23,6,0
85,4,1,0
86,10,5,1
87,4,1,0
88,2,6,1
89,3,9,0
90,13,18,0
91,8,0,0
92,10,0,0
93,2,1,0
94,4,0,0
95,8,1,0
96,2,0,0
97,7,0,0
98,5,1,0
99,3,1,0
100,9,1,1
101,6,1,0
102,20,8,0
103,7,2,0
104,0,0,0
105,6,7,0
106,8,9,0
107,13,0,0
108,11,0,0
109,8,1,0
110,7,1,0
111,9,0,0
112,15,11,0
113,45,5,0
114,9,1,0
115,8,0,0
116,33,7,1
117,26,6,1
118,12,1,0
119,9,4,0
120,20,2,0
121,10,4,0
122,4,8,0
123,29,20,0
124,13,2,0
125,4,1,0
126,20,2,0
127,21,3,0
128,5,6,0
129,31,10,4
130,7,0,0
131,8,1,0
132,5,0,0
133,9,1,0
134,4,1,0
135,8,1,0
136,6,0,0
137,7,8,0
138,4,2,0
139,6,10,0
140,7,1,0
141,19,11,0
142,7,2,0
143,4,0,0
144,6,0,0
145,3,6,0
146,19,0,0
147,21,1,0
148,16,4,0
149,30,6,0
150,29,19,0
151,11,4,0
152,10,0,0
153,92,10,1
154,73,25,20
155,49,21,47
156,6,2,17
157,8,4,0
158,6,2,0
159,3,4,0
160,7,0,0
161,1,0,0
162,6,0,0
163,5,3,0
164,0,0,0
165,2,0,0
166,1,0,0
167,2,2,0
168,1,0,0
169,1,0,0
170,0,2,0
171,3,2,0
172,9,0,0
173,4,2,0
174,3,2,0
175,3,0,0
176,2,1,0
177,1,0,0
178,3,0,0
179,38,7,0
180,4,0,0
181,2,4,0
182,19,18,0
183,4,0,0
184,5,3,0
185,3,1,0
186,5,0,0
187,1,0,0
188,8,0,0
189,7,10,0
190,3,0,0
191,1,1,0
192,0,0,0
193,2,3,0
194,3,2,0
195,1,2,0
196,0,2,0
197,2,24,0
198,9,20,0
199,3,7,0
200,0,0,7
201,6,3,0
202,11,22,0
203,5,16,0
204,7,3,0
205,2,3,0
206,16,2,0
207,6,3,0
208,0,0,0
209,25,10,0
210,4,0,0
211,0,0,0
212,1,1,0
213,4,0,0
214,4,0,0
215,1,0,0
216,8,0,0
217,3,0,0
218,4,0,0
219,2,9,0
220,1,0,0
221,0,0,0
222,1,6,0
223,4,3,0
224,8,1,0
225,6,1,0
226,2,2,0
227,0,0,0
228,2,1,0
229,0,6,0
230,5,17,0
231,2,10,0
232,0,1,0
233,3,0,0
234,0,1,0
235,6,3,0
236,8,6,0
237,5,11,0
238,3,12,0
239,2,0,0
240,4,1,0
241,3,0,0
242,30,3,0
243,15,0,0
244,6,5,0
245,1,8,0
246,3,2,0
247,0,0,2
248,2,0,4
249,3,0,0
250,4,4,0
251,13,2,0
252,0,0,0
253,0,2,0
254,8,4,0
255,12,7,0
256,0,0,0
257,0,0,0
258,19,1,1
259,3,0,0
260,1,0,0
261,4,1,0
262,1,0,0
263,0,4,0
264,0,0,0
265,4,2,0
266,2,1,0
267,1,0,0
268,24,15,0
269,8,2,0
270,5,1,0
271,3,0,0
272,2,0,0
273,1,1,0
274,8,1,0
275,5,0,0
276,6,0,0
277,4,0,0
278,2,5,0
279,3,0,0
280,3,0,0
281,5,1,0
282,11,2,1
283,5,11,29
284,7,0,0
285,6,0,0
286,1,0,0
287,1,0,0
288,2,0,0
289,5,0,0
290,3,1,0
291,6,0,0
292,7,1,0
293,2,3,0
294,5,0,1
295,5,2,0
296,4,4,9
297,1,0,0
298,12,11,0
299,1,2,0
300,0,1,0
301,0,0,0
302,2,0,0
303,6,1,0
304,1,2,0
305,3,1,0
306,7,7,0
307,2,0,0
308,9,0,0
309,10,14,0
310,2,0,0
311,3,0,0
312,3,0,0
313,0,0,0
314,3,0,0
315,2,2,0
316,4,1,0
317,4,9,0
318,39,53,0
319,2,1,0
320,18,0,0
321,4,3,0
322,3,15,0
323,3,2,0
324,1,0,0
325,3,0,0
326,5,0,0
327,4,0,0
328,1,0,0
329,5,1,0
330,12,3,0
